ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement
cjhnv7nfx0mte0756yoaixd3v,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2014.46.04.png?alt=media&token=8d534b20-8681-476c-a223-81c195de7887,"{""Construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367565000,5.125,[NC]Screen Shot 2018-05-26 at 14.46.04.png,
cjhnv7pb0qvga0702iv445uog,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BC%5Deurk.jpg?alt=media&token=1c8ba941-3391-49e9-a8fc-e9fe49e2aca9,"{""Construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367567000,2.503,[C]eurk.jpg,
cjhnv7r6iqvh20702hqjp7vnf,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2014.45.42.png?alt=media&token=71bf5ae3-d2e4-4a98-9438-d49b6df8817d,"{""Construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367570000,2.421,[NC]Screen Shot 2018-05-26 at 14.45.42.png,
cjhnv7tmi0mw70756ylpwgmet,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BC%5Ddetour.jpg?alt=media&token=28845b13-3fe9-4520-8431-ee20730fc5f5,"{""Construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367573000,3.084,[C]detour.jpg,
cjhnv7ydt0mwn0756wrl4t87t,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2014.45.12.png?alt=media&token=c7340b38-f9ed-4e3f-8b58-f0b90e28d9d1,"{""Construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367579000,6.177,[NC]Screen Shot 2018-05-26 at 14.45.12.png,
cjhnv800j0mwx0756lkf6myj4,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BC%5Dconstruct2.jpg?alt=media&token=ff15b811-52a7-42db-aafe-a4530e59bb89,"{""Construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367581000,2.205,[C]construct2.jpg,
cjhnv82ki0mxi0756d9d9mqam,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2014.44.29.png?alt=media&token=e2329fad-ebc2-4b67-8dfa-005aaadd37ef,"{""Construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367584000,3.214,[NC]Screen Shot 2018-05-26 at 14.44.29.png,
cjhnv84njqvi90702m16jw5q3,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BC%5Dconstruct.jpg?alt=media&token=212065d9-6d12-4581-96b5-ee32ed34f84c,"{""Construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367587000,2.777,[C]construct.jpg,
cjhnv86mm0myd0756n36073qc,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BC%5Dconstruck.PNG?alt=media&token=612ebc39-6cec-4c83-a549-2816538fbcbf,"{""Construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367590000,2.481,[C]construck.PNG,
cjhnv88xt0myt0756ghlj9710,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fcbff1a0a-d6be-47f5-a027-1e38a52c6b97%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2014.43.09.png?alt=media&token=c283749e-34a0-45d8-9da8-ce2d1f0fdcb4,"{""Construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction - Training Set,1527367593000,2.997,[NC]Screen Shot 2018-05-26 at 14.43.09.png,
